parseList done for : 104 and size : 192
parseDoc() done for docId : 104.0 and size : 62
parseDoc() done for docId : 104.1 and size : 156
parseDoc() done for docId : 104.10 and size : 4
parseDoc() done for docId : 104.11 and size : 197
parseDoc() done for docId : 104.12 and size : 119
parseDoc() done for docId : 104.13 and size : 561
parseDoc() done for docId : 104.14 and size : 371
parseDoc() done for docId : 104.15 and size : 4
parseDoc() done for docId : 104.16 and size : 3164
parseDoc() done for docId : 104.17 and size : 544
parseDoc() done for docId : 104.18 and size : 92
parseDoc() done for docId : 104.19 and size : 133
parseDoc() done for docId : 104.2 and size : 233
parseDoc() done for docId : 104.20 and size : 66
parseDoc() done for docId : 104.21 and size : 66
parseDoc() done for docId : 104.22 and size : 146
parseDoc() done for docId : 104.23 and size : 84
parseDoc() done for docId : 104.24 and size : 56
parseDoc() done for docId : 104.25 and size : 279
parseDoc() done for docId : 104.26 and size : 155
parseDoc() done for docId : 104.27 and size : 243
parseDoc() done for docId : 104.28 and size : 61
parseDoc() done for docId : 104.29 and size : 276
parseDoc() done for docId : 104.3 and size : 115
parseDoc() done for docId : 104.30 and size : 73
parseDoc() done for docId : 104.31 and size : 183
parseDoc() done for docId : 104.32 and size : 170
parseDoc() done for docId : 104.33 and size : 274
parseDoc() done for docId : 104.34 and size : 65
parseDoc() done for docId : 104.35 and size : 68
parseDoc() done for docId : 104.36 and size : 28
parseDoc() done for docId : 104.37 and size : 51
parseDoc() done for docId : 104.38 and size : 60
parseDoc() done for docId : 104.39 and size : 26
parseDoc() done for docId : 104.4 and size : 184
parseDoc() done for docId : 104.40 and size : 45
parseDoc() done for docId : 104.41 and size : 30
parseDoc() done for docId : 104.42 and size : 24
parseDoc() done for docId : 104.43 and size : 44
parseDoc() done for docId : 104.44 and size : 28
parseDoc() done for docId : 104.45 and size : 154
parseDoc() done for docId : 104.46 and size : 43
parseDoc() done for docId : 104.47 and size : 28
parseDoc() done for docId : 104.48 and size : 48
parseDoc() done for docId : 104.49 and size : 60
parseDoc() done for docId : 104.5 and size : 121
parseDoc() done for docId : 104.50 and size : 32
parseDoc() done for docId : 104.51 and size : 51
parseDoc() done for docId : 104.52 and size : 79
parseDoc() done for docId : 104.53 and size : 46
parseDoc() done for docId : 104.54 and size : 42
parseDoc() done for docId : 104.55 and size : 199
parseDoc() done for docId : 104.56 and size : 61
parseDoc() done for docId : 104.57 and size : 58
parseDoc() done for docId : 104.58 and size : 48
parseDoc() done for docId : 104.59 and size : 283
parseDoc() done for docId : 104.6 and size : 463
parseDoc() done for docId : 104.60 and size : 51
parseDoc() done for docId : 104.61 and size : 90
parseDoc() done for docId : 104.62 and size : 71
parseDoc() done for docId : 104.63 and size : 99
parseDoc() done for docId : 104.64 and size : 59
parseDoc() done for docId : 104.65 and size : 25
parseDoc() done for docId : 104.66 and size : 50
parseDoc() done for docId : 104.67 and size : 37
parseDoc() done for docId : 104.68 and size : 47
parseDoc() done for docId : 104.69 and size : 1242
parseDoc() done for docId : 104.7 and size : 239
parseDoc() done for docId : 104.70 and size : 74
parseDoc() done for docId : 104.71 and size : 25
parseDoc() done for docId : 104.72 and size : 74
parseDoc() done for docId : 104.73 and size : 59
parseDoc() done for docId : 104.74 and size : 21
parseDoc() done for docId : 104.75 and size : 168
parseDoc() done for docId : 104.76 and size : 65
parseDoc() done for docId : 104.77 and size : 286
parseDoc() done for docId : 104.78 and size : 88
parseDoc() done for docId : 104.79 and size : 54
parseDoc() done for docId : 104.8 and size : 275
parseDoc() done for docId : 104.80 and size : 54
parseDoc() done for docId : 104.81 and size : 29
parseDoc() done for docId : 104.82 and size : 39
parseDoc() done for docId : 104.83 and size : 442
parseDoc() done for docId : 104.84 and size : 70
parseDoc() done for docId : 104.85 and size : 210
parseDoc() done for docId : 104.86 and size : 53
parseDoc() done for docId : 104.87 and size : 64
parseDoc() done for docId : 104.88 and size : 70
parseDoc() done for docId : 104.89 and size : 51
parseDoc() done for docId : 104.9 and size : 69
parseDoc() done for docId : 104.90 and size : 52
parseDoc() done for docId : 104.91 and size : 33
parseDoc() done for docId : 104.92 and size : 25
parseDoc() done for docId : 104.93 and size : 48
parseDoc() done for docId : 104.94 and size : 51
parseDoc() done for docId : 104.95 and size : 304
parseDoc() done for docId : 104.96 and size : 48
parseDoc() done for docId : 104.97 and size : 150
parseDoc() done for docId : 104.98 and size : 21
parseDoc() done for docId : 104.99 and size : 62
parseList done for : 112 and size : 7118
parseDoc() done for docId : 112.0 and size : 87
parseDoc() done for docId : 112.1 and size : 595
parseDoc() done for docId : 112.10 and size : 544
parseDoc() done for docId : 112.11 and size : 269
parseDoc() done for docId : 112.12 and size : 79
parseDoc() done for docId : 112.13 and size : 66
parseDoc() done for docId : 112.14 and size : 161
parseDoc() done for docId : 112.15 and size : 337
parseDoc() done for docId : 112.16 and size : 75
parseDoc() done for docId : 112.17 and size : 265
parseDoc() done for docId : 112.18 and size : 507
parseDoc() done for docId : 112.19 and size : 490
parseDoc() done for docId : 112.2 and size : 5
parseDoc() done for docId : 112.20 and size : 180
parseDoc() done for docId : 112.21 and size : 323
parseDoc() done for docId : 112.22 and size : 269
parseDoc() done for docId : 112.23 and size : 156
parseDoc() done for docId : 112.24 and size : 148
parseDoc() done for docId : 112.25 and size : 165
parseDoc() done for docId : 112.26 and size : 115
parseDoc() done for docId : 112.27 and size : 109
parseDoc() done for docId : 112.28 and size : 82
parseDoc() done for docId : 112.29 and size : 24
parseDoc() done for docId : 112.3 and size : 307
parseDoc() done for docId : 112.30 and size : 135
parseDoc() done for docId : 112.31 and size : 111
parseDoc() done for docId : 112.32 and size : 713
parseDoc() done for docId : 112.33 and size : 543
parseDoc() done for docId : 112.34 and size : 535
parseDoc() done for docId : 112.35 and size : 396
parseDoc() done for docId : 112.36 and size : 357
parseDoc() done for docId : 112.37 and size : 331
